customer_id,age,province,card_type,balance,num_products,satisfaction_score,has_complaint
15757408,38,Quebec,Silver,250898.09,3,1,1
15715622,57,Ontario,Gold,238387.56,1,5,1
15714241,42,Quebec,Gold,222267.63,1,4,1
15586674,58,Quebec,Silver,216109.88,1,2,1
15594408,48,Quebec,Diamond,213146.2,1,4,0
15671256,35,Ontario,Platinum,211774.31,1,2,1
15736420,21,Ontario,Diamond,210433.08,2,5,1
15721658,56,Quebec,Platinum,209767.31,2,5,1
15578671,29,Quebec,Diamond,209490.21,1,2,1
15709920,33,Ontario,Platinum,208165.53,1,5,1
15769412,39,Quebec,Diamond,207034.96,2,4,1
15784180,36,Ontario,Platinum,206329.65,1,2,1
15607275,39,Quebec,Platinum,206014.94,2,5,1
15673020,49,Ontario,Silver,204510.94,1,2,1
15588670,40,Quebec,Diamond,203715.15,1,2,1
15620756,49,Ontario,Silver,202904.64,1,1,1
15689514,43,Ontario,Gold,201696.07,1,4,1
15793688,50,Ontario,Platinum,201009.64,1,2,1
15776545,28,Ontario,Silver,200724.96,1,2,1
15648489,53,Ontario,Silver,199689.49,1,1,1
